time,open,high,low,close
1713247200,2921.95,2923.05,2921.95,2921.95
1713247500,2922,2922,2920.55,2921.95
1713247800,2922,2922,2918.4,2919.95
1713248100,2920,2920,2916.45,2916.95
1713248400,2916.9,2917,2912.85,2914.5
1713248700,2914.45,2919,2914.45,2918
1713249000,2917.95,2918.95,2915,2917.45
1713249300,2917.4,2918.7,2916.95,2917.3
1713249600,2917.6,2921.1,2917.35,2920.25
1713249900,2920.2,2920.3,2917.35,2919.5
1713250200,2919.45,2924.55,2918.75,2924.55
1713250500,2924.45,2925,2923,2924.2
1713250800,2923.35,2925,2922.6,2923.3
1713251100,2923.25,2925,2923.25,2924.2
1713251400,2924.05,2924.85,2921.7,2921.7
1713251700,2921.8,2924.2,2920.05,2920.3
1713252000,2920.25,2921.2,2919,2919.5
1713252300,2919.45,2922,2919.1,2921.2
1713252600,2921.4,2921.4,2915.65,2917.85
1713252900,2917.75,2917.75,2915,2916.05
1713253200,2916.45,2916.45,2910.55,2910.6
1713253500,2910.15,2911.3,2904.05,2904.65
1713253800,2904.35,2905.05,2902,2902.15
1713254100,2902.05,2908,2902.05,2906.05
1713254400,2906.1,2911.95,2903.45,2911.05
1713254700,2910.95,2913.15,2906.35,2912.65
1713255000,2912.45,2914.65,2911.55,2912.2
1713255300,2912.15,2917.95,2910.3,2915.4
1713255600,2915.55,2917.6,2914.5,2916.15
1713255900,2915.95,2917.65,2914.35,2915.8
1713256200,2915.75,2920,2915,2919.95
1713256500,2919.9,2920.95,2917.75,2919.45
1713256800,2919.15,2922.95,2918.65,2922
1713257100,2922.15,2927,2922.05,2924.65
1713257400,2924.1,2928.1,2923.3,2925
1713257700,2924.15,2925.95,2923.05,2923.5
1713258000,2923.65,2924.5,2922.7,2923.65
1713258300,2923.35,2923.95,2921.05,2922.45
1713258600,2922.25,2923.85,2921.6,2923.25
1713258900,2923.2,2924,2921,2921.5
1713259200,2921.45,2924,2920.9,2923.85
1713259500,2923.75,2926.1,2921.2,2923.15
1713259800,2923.25,2925.65,2922.2,2922.5
1713260100,2922.4,2929,2922.15,2929
1713260400,2929.5,2941.7,2929.25,2940.65
1713260700,2939.95,2942.35,2935.1,2935.2
1713261000,2935.25,2939.9,2934.9,2939.5
1713261300,2939.9,2940,2934.7,2936.5
1713411900,2927,2963,2927,2954.1
1713412200,2954,2971.6,2953.4,2968.25
1713412500,2968.9,2972,2961.65,2963.65
1713412800,2963.25,2964.35,2953.6,2954.35
1713413100,2955.2,2957.45,2950,2950.65
1713413400,2950.6,2951.65,2942.1,2944.45
1713413700,2944.9,2945.9,2938.8,2940.8
1713414000,2940.3,2942.45,2937.05,2940.95
1713414300,2941,2942.25,2937.5,2939.25
1713414600,2939.2,2940.4,2937.75,2938.2
1713414900,2938.15,2940.5,2929.7,2935.65
1713415200,2935.05,2938,2931.3,2937.7
1713415500,2938,2942.6,2936.25,2938.55
1713415800,2937.4,2940,2932.35,2940
1713416100,2940.05,2944.4,2938.05,2943.3
1713416400,2944.05,2946.05,2939.3,2942
1713416700,2941.95,2942,2935.7,2937.7
1713417000,2936.95,2937.95,2934,2934.75
1713417300,2934,2937.65,2934,2934.6
1713417600,2934.75,2935.35,2931,2932.5
1713417900,2932.45,2936.85,2932.2,2936.4
1713418200,2936.8,2939.7,2935.95,2939.5
1713418500,2939.7,2947.9,2939,2947.7
1713418800,2947.65,2949.95,2942.4,2945
1713419100,2944.3,2947,2942.55,2943.5
1713419400,2943.6,2946.65,2942.1,2946
1713419700,2945.7,2947.05,2944,2946.4
1713420000,2946.9,2946.9,2942.05,2942.45
1713420300,2942.55,2944.65,2940.25,2940.25
1713420600,2940.3,2943.5,2939.65,2942.7
1713420900,2943.2,2946.45,2942.95,2943.2
1713421200,2943.55,2947.25,2942.65,2947
1713421500,2946.95,2949.1,2945,2947.45
1713421800,2947.5,2950,2945.1,2946.3
1713422100,2945.8,2947,2942,2946.85
1713422400,2946.9,2946.9,2943.9,2946.05
1713422700,2945.35,2952.9,2945.35,2952.9
1713423000,2953,2954.95,2950.45,2953
1713423300,2953.45,2953.45,2948.65,2952.5
1713423600,2952.55,2954.8,2950.25,2954.8
1713423900,2954.55,2957.4,2953,2956.5
1713424200,2955.95,2959,2955.95,2956.35
1713424500,2957,2957.9,2951.05,2953.95
1713424800,2953.9,2954.25,2952.3,2954
1713425100,2953.95,2955.25,2953.05,2953.9
1713425400,2954,2955,2953.5,2953.95
1713425700,2954,2954.15,2948.25,2950.35
1713426000,2949.95,2954,2949.95,2953.95
1713426300,2954,2954.45,2953.25,2954.45
